Nome,Matricula,Horario de entrada,Horario de Saida,piloto,marcador
sala03,28,gustavo@dicasdeprogramcao.com.br,macau,s,s
sala03,35,joao@dicasdejava.com.br,assu,s,s
sala03,23,maria@dicasdeprogramacao.com.br,itaja,s,s
sala03,25,ana@dicasdejava.com.br,londres,s,s
lucas sala03,2020282,12:00,15:00,s,s
queiroz,29292929,12:00,14:00,s,s
cawdjaojwdow,odjoafjejfj,fjeojsofj,ojojfejsj,s,s
cascasjcajocj,ojowjcozjocjwojw,ojdjajodjwoajo,jojoajdojaowd,s,s
cawdjaojwdow,odjoafjejfj,fjeojsofj,ojojfejsj,s,s
cawdjaojwdow,odjoafjejfj,fjeojsofj,ojojfejsj,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
jiijijijijijiji,jijijijijiji,jijijijijij,ijijijjijji,SIM,SIM
jiijijijijijiji,jijijijijiji,jijijijijij,ijijijjijji,NÃO,NÃO
gdgdgdgdg,dgdgdgdgdg,gdgdgdgdgd,gdgdgdgd,SIM,NÃO
gdgdgdgdg,dgdgdgdgdg,gdgdgdgdgd,gdgdgdgd,NÃO,SIM
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
jiijijijijijiji,jijijijijiji,jijijijijij,ijijijjijji,SIM,SIM
jiijijijijijiji,jijijijijiji,jijijijijij,ijijijjijji,NÃO,NÃO
gdgdgdgdg,dgdgdgdgdg,gdgdgdgdgd,gdgdgdgd,SIM,NÃO
gdgdgdgdg,dgdgdgdgdg,gdgdgdgdgd,gdgdgdgd,NÃO,SIM
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
camcmawocmwam,owcoamocmwamc,cwomoamomaom,cowmmamaom,s,s
jiijijijijijiji,jijijijijiji,jijijijijij,ijijijjijji,SIM,SIM
jiijijijijijiji,jijijijijiji,jijijijijij,ijijijjijji,NÃO,NÃO
gdgdgdgdg,dgdgdgdgdg,gdgdgdgdgd,gdgdgdgd,SIM,NÃO
gdgdgdgdg,dgdgdgdgdg,gdgdgdgdgd,gdgdgdgd,NÃO,SIM
